﻿Title:,"Table 1 - HE student enrolments by HE provider"
Subtitle:,"Academic years 2014/15 to 2018/19"
Reference ID:,DT051 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2020
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,First year marker,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2017/18 
Search:,


"UKPRN","HE provider","England","Scotland","Wales","Northern Ireland","Other UK","Total UK  ","Other European Union","Non-European Union","Total Non-UK","Not known","Total"
"10007783","The University of Aberdeen","1,465","7,900","35","185","10","9,590","2,865","1,915","4,780","0","14,370"
"10007849","University of Abertay Dundee","125","3,265","0","30","0","3,420","515","115","630","0","4,055"
"10007856","Aberystwyth University","3,790","40","2,855","95","15","6,800","870","520","1,390","0","8,185"
"10000163","AECC University College","245","5","5","0","5","260","75","100","175","0","435"
"10000291","Anglia Ruskin University","20,160","75","90","85","20","20,430","1,265","1,805","3,070","0","23,500"
"10007759","Aston University","11,890","55","200","30","10","12,185","665","1,765","2,430","0","14,615"
"10007857","Bangor University","4,495","40","3,985","110","35","8,665","560","1,935","2,495","0","11,155"
"10000571","Bath Spa University","6,700","20","525","60","20","7,325","255","415","665","0","7,990"
"10007850","The University of Bath","11,200","140","745","155","80","12,325","1,745","3,485","5,230","0","17,555"
"10007152","University of Bedfordshire","10,320","5","25","45","10","10,400","1,025","1,370","2,395","0","12,800"
"10005343","Queen's University Belfast","1,360","115","65","19,315","25","20,880","995","2,610","3,605","0","24,490"
"10007760","Birkbeck College","10,520","15","35","10","5","10,580","650","710","1,360","0","11,940"
"10007140","Birmingham City University","21,140","85","335","80","15","21,650","755","2,165","2,925","0","24,575"
"10006840","The University of Birmingham","25,445","175","880","90","115","26,705","1,555","6,660","8,210","0","34,915"
"10000712","University College Birmingham","3,330","5","70","10","0","3,420","1,020","505","1,525","0","4,945"
"10007811","Bishop Grosseteste University","2,220","0","10","10","0","2,240","5","5","10","0","2,255"
"10006841","The University of Bolton","5,900","25","75","30","0","6,030","170","340","515","0","6,545"
"10000385","The Arts University Bournemouth","2,810","20","55","25","55","2,965","215","315","525","0","3,490"
"10000824","Bournemouth University","15,980","45","225","50","60","16,360","860","1,465","2,325","0","18,685"
"10007785","The University of Bradford","8,490","35","45","30","10","8,610","520","985","1,505","0","10,115"
"10000886","The University of Brighton","18,320","60","170","110","140","18,800","1,110","1,645","2,755","0","21,555"
"10000936","The University College of Osteopathy","425","5","5","0","5","440","35","20","55","0","495"
"10007786","The University of Bristol","17,455","210","1,075","180","55","18,980","1,270","4,605","5,875","0","24,850"
"10000961","Brunel University London","10,105","25","110","20","15","10,275","805","2,830","3,640","0","13,910"
"10000975","Buckinghamshire New University","8,095","35","85","75","15","8,305","650","130","780","0","9,085"
"10007787","The University of Buckingham","1,865","35","35","0","10","1,950","125","790","910","0","2,860"
"10007788","The University of Cambridge","12,620","315","315","195","10","13,460","2,635","4,415","7,050","0","20,510"
"10003324","The Institute of Cancer Research","250","0","5","0","0","255","20","15","35","0","290"
"10001143","Canterbury Christ Church University","13,595","35","30","45","25","13,730","505","220","725","0","14,455"
"10007814","Cardiff University","12,860","90","10,765","190","55","23,960","1,505","6,465","7,975","0","31,935"
"10007854","Cardiff Metropolitan University","3,345","35","5,665","55","15","9,120","280","1,030","1,315","0","10,435"
"10007141","The University of Central Lancashire","20,090","130","275","185","40","20,725","525","1,755","2,280","0","23,000"
"10007848","University of Chester","12,350","45","1,890","145","75","14,505","205","700","905","0","15,410"
"10007137","The University of Chichester","5,220","25","60","10","30","5,345","90","85","175","0","5,520"
"10001478","City, University of London","12,220","65","80","30","15","12,405","2,080","5,295","7,375","0","19,780"
"10001653","Conservatoire for Dance and Drama","860","30","35","0","0","930","155","340","495","0","1,425"
"10007761","Courtauld Institute of Art","320","5","5","0","0","330","70","110","180","0","505"
"10001726","Coventry University","22,435","30","275","90","10","22,840","3,245","8,040","11,285","0","34,125"
"10007822","Cranfield University","2,130","50","65","15","10","2,270","925","1,155","2,085","0","4,355"
"10006427","University for the Creative Arts","5,505","100","120","30","15","5,770","400","455","850","0","6,620"
"10007842","University of Cumbria","6,705","220","85","315","20","7,345","165","70","235","0","7,580"
"10001883","De Montfort University","20,530","70","245","95","50","20,990","1,040","3,670","4,710","0","25,695"
"10007851","University of Derby","16,545","130","200","65","20","16,960","815","715","1,530","0","18,490"
"10007852","The University of Dundee","2,005","10,210","70","715","20","13,020","815","1,270","2,085","0","15,105"
"10007143","University of Durham","12,385","235","275","200","65","13,155","1,100","4,075","5,175","0","18,330"
"10007789","The University of East Anglia","13,770","50","110","75","20","14,025","905","3,025","3,930","0","17,955"
"10007144","The University of East London","11,645","30","50","35","10","11,775","440","875","1,315","0","13,090"
"10007823","Edge Hill University","13,285","20","330","265","75","13,975","95","185","280","0","14,255"
"10007772","Edinburgh Napier University","905","9,270","35","320","10","10,535","1,535","1,045","2,575","0","13,115"
"10007790","The University of Edinburgh","9,005","10,990","280","530","65","20,865","3,725","8,300","12,025","0","32,885"
"10007791","The University of Essex","10,220","35","85","55","15","10,415","1,890","2,460","4,350","0","14,760"
"10007792","The University of Exeter","16,735","165","890","120","120","18,035","1,490","4,525","6,010","0","24,045"
"10008640","Falmouth University","5,090","30","165","40","25","5,350","365","285","650","0","6,000"
"10004511","The National Film and Television School","190","5","0","0","0","200","50","55","105","0","305"
"10007762","Glasgow Caledonian University","605","13,645","30","150","0","14,435","810","1,205","2,020","0","16,450"
"10002681","Glasgow School of Art","540","925","15","30","5","1,515","310","475","785","0","2,300"
"10007794","The University of Glasgow","3,230","16,930","75","670","10","20,910","3,175","5,640","8,815","0","29,725"
"10007145","University of Gloucestershire","7,285","20","585","85","10","7,990","115","390","505","0","8,490"
"10007833","Glyndŵr University","1,125","10","3,585","20","0","4,740","880","125","1,005","0","5,745"
"10002718","Goldsmiths College","7,305","50","80","30","10","7,475","870","1,660","2,530","0","10,000"
"10030408","Gower College Swansea","0","0","130","0","0","130","0","0","0","0","130"
"10007146","The University of Greenwich","15,050","75","85","45","10","15,265","1,370","2,170","3,540","0","18,805"
"10007825","Guildhall School of Music and Drama","670","30","20","5","0","730","175","170","340","0","1,075"
"10040812","Harper Adams University","4,255","285","370","195","15","5,120","90","105","195","0","5,310"
"10007764","Heriot-Watt University","1,840","5,435","45","430","15","7,765","990","2,150","3,140","0","10,910"
"10007147","University of Hertfordshire","20,130","60","125","55","15","20,390","785","3,225","4,010","0","24,400"
"10007765","Heythrop College","180","0","0","0","0","180","5","15","20","0","200"
"10007148","The University of Huddersfield","14,660","30","105","45","15","14,855","630","2,760","3,390","0","18,245"
"10007149","The University of Hull","13,475","35","80","40","25","13,655","610","1,320","1,935","0","15,585"
"10003270","Imperial College of Science, Technology and Medicine","8,340","205","205","65","5","8,815","3,075","6,485","9,560","0","18,375"
"10007767","Keele University","9,375","40","255","55","30","9,755","230","885","1,115","0","10,870"
"10007150","The University of Kent","15,045","35","110","35","60","15,280","1,650","2,895","4,545","0","19,825"
"10003645","King's College London","20,415","195","320","130","35","21,095","4,080","7,095","11,175","0","32,270"
"10003678","Kingston University","14,395","60","160","35","20","14,665","815","2,150","2,965","0","17,630"
"10007768","The University of Lancaster","8,975","95","340","60","60","9,530","1,435","3,245","4,680","0","14,210"
"10003854","Leeds Arts University","1,420","10","30","15","5","1,480","30","100","125","0","1,605"
"10003861","Leeds Beckett University","21,545","120","270","195","50","22,185","415","975","1,385","0","23,570"
"10007795","The University of Leeds","25,495","180","415","190","60","26,335","1,510","6,575","8,085","0","34,420"
"10003863","Leeds Trinity University","3,260","5","20","30","0","3,315","30","20","50","0","3,365"
"10007796","The University of Leicester","12,715","70","260","50","45","13,140","640","3,630","4,270","0","17,410"
"10007151","The University of Lincoln","13,535","60","125","40","10","13,770","230","975","1,200","0","14,970"
"10003956","Liverpool Hope University","4,075","15","160","730","25","5,010","95","90","185","0","5,200"
"10003957","Liverpool John Moores University","18,055","60","1,395","1,985","95","21,595","400","1,235","1,635","0","23,230"
"10003945","The Liverpool Institute for Performing Arts","555","15","35","15","5","625","25","145","170","0","795"
"10006842","The University of Liverpool","19,175","75","955","505","120","20,835","945","7,020","7,960","0","28,795"
"10003958","Liverpool School of Tropical Medicine","230","15","10","5","0","265","30","145","170","0","435"
"10007820","Grŵp Llandrillo Menai","15","0","1,390","0","0","1,405","0","0","0","0","1,410"
"10007162","University of the Arts, London","9,425","125","155","65","25","9,795","2,460","6,715","9,175","0","18,970"
"10007769","London Business School","520","15","0","0","0","535","315","1,065","1,380","0","1,915"
"10007797","University of London (Institutes and activities)","135","0","0","0","0","140","35","55","90","0","225"
"10004048","London Metropolitan University","9,155","45","55","15","5","9,275","660","360","1,020","0","10,295"
"10004078","London South Bank University","15,400","25","65","30","5","15,530","570","1,030","1,600","0","17,130"
"10004063","London School of Economics and Political Science","3,585","50","65","35","5","3,740","2,060","5,825","7,885","0","11,620"
"10007771","London School of Hygiene and Tropical Medicine","530","5","5","0","0","540","105","445","550","0","1,085"
"10004113","Loughborough University","12,790","125","375","130","60","13,485","880","2,950","3,830","0","17,315"
"10004180","The Manchester Metropolitan University","29,200","125","800","425","60","30,610","970","1,500","2,470","0","33,080"
"10007798","The University of Manchester","24,685","295","875","465","70","26,390","2,785","10,965","13,750","0","40,140"
"10004351","Middlesex University","14,975","65","90","25","20","15,180","1,825","2,685","4,510","0","19,690"
