﻿Title:,"Table 1 - HE student enrolments by HE provider"
Subtitle:,"Academic years 2014/15 to 2018/19"
Reference ID:,DT051 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2020
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,First year marker,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2017/18 
Search:,


"UKPRN","HE provider","England","Scotland","Wales","Northern Ireland","Other UK","Total UK  ","Other European Union","Non-European Union","Total Non-UK","Not known","Total"
"10007799","Newcastle University","18,380","500","225","515","60","19,685","1,375","5,415","6,785","0","26,470"
"10007832","Newman University","2,715","0","10","10","0","2,740","15","0","20","0","2,760"
"10007138","The University of Northampton","10,195","50","80","30","10","10,365","420","1,185","1,605","0","11,970"
"10009614","Grŵp NPTC Group","0","0","130","0","0","130","0","0","0","0","130"
"10001282","University of Northumbria at Newcastle","21,865","265","110","645","65","22,950","760","2,940","3,695","0","26,645"
"10004775","Norwich University of the Arts","2,015","5","15","10","10","2,055","70","95","165","0","2,215"
"10007154","University of Nottingham","24,770","90","455","140","35","25,495","1,585","6,015","7,600","0","33,100"
"10004797","The Nottingham Trent University","26,205","75","290","115","70","26,755","835","3,300","4,135","0","30,890"
"10007773","The Open University","90,890","16,185","6,915","3,735","0","117,725","165","50","215","0","117,935"
"10004930","Oxford Brookes University","13,635","75","370","55","45","14,180","955","2,040","2,995","0","17,170"
"10007774","The University of Oxford","15,680","405","425","145","45","16,700","2,640","5,570","8,210","5","24,915"
"10005127","Plymouth College of Art","1,310","0","40","20","5","1,380","25","10","35","0","1,415"
"10007801","University of Plymouth","17,850","55","645","90","60","18,705","655","1,410","2,060","0","20,765"
"10007155","The University of Portsmouth","19,770","80","455","70","60","20,430","1,025","2,940","3,965","0","24,395"
"10005337","Queen Margaret University, Edinburgh","520","3,385","20","145","25","4,095","790","290","1,075","0","5,175"
"10007775","Queen Mary University of London","13,030","80","175","75","10","13,370","1,935","4,765","6,700","0","20,070"
"10005389","Ravensbourne University London","2,210","10","10","20","5","2,255","135","140","275","0","2,530"
"10007802","The University of Reading","11,935","50","545","60","40","12,635","1,105","3,260","4,365","0","16,995"
"10005500","The Robert Gordon University","830","9,425","35","75","25","10,390","1,110","1,030","2,140","0","12,530"
"10007776","Roehampton University","10,685","15","35","35","5","10,770","490","645","1,135","0","11,910"
"10005523","Rose Bruford College of Theatre and Performance","575","20","25","0","0","620","50","65","120","0","740"
"10007835","Royal Academy of Music","405","30","25","5","5","470","170","210","375","0","845"
"10005545","Royal Agricultural University","980","25","35","5","0","1,050","45","95","140","0","1,190"
"10007777","Royal College of Art","710","15","10","5","0","740","525","890","1,415","0","2,155"
"10007778","Royal College of Music","385","30","25","0","0","440","165","240","400","0","840"
"10005561","Royal Conservatoire of Scotland","195","615","15","25","5","855","155","200","360","0","1,210"
"10007816","The Royal Central School of Speech and Drama","735","30","15","5","0","785","115","195","305","0","1,090"
"10005553","Royal Holloway and Bedford New College","7,490","30","135","20","25","7,700","865","2,000","2,865","0","10,565"
"10007837","Royal Northern College of Music","545","50","45","10","10","655","85","200","285","0","940"
"10007779","The Royal Veterinary College","1,930","45","65","30","0","2,070","90","385","470","0","2,545"
"10007803","The University of St Andrews","2,640","2,910","80","170","30","5,835","1,265","3,640","4,905","0","10,735"
"10007782","St George's, University of London","4,455","20","40","20","5","4,540","80","350","430","0","4,975"
"10008026","St Mary's University College","0","0","0","980","0","980","20","0","20","0","1,000"
"10007843","St Mary's University, Twickenham","4,780","20","40","85","15","4,940","240","135","375","0","5,310"
"10007156","The University of Salford","17,700","70","325","180","15","18,295","675","1,320","1,995","0","20,290"
"10007780","SOAS University of London","3,450","40","40","15","15","3,560","910","1,800","2,710","0","6,270"
"10005700","SRUC","105","1,460","15","15","0","1,595","125","20","145","0","1,740"
"10005790","Sheffield Hallam University","27,890","105","235","85","70","28,380","485","1,865","2,345","0","30,730"
"10007157","The University of Sheffield","20,135","105","335","95","45","20,710","1,495","7,470","8,965","0","29,675"
"10006022","Solent University","8,450","35","145","75","45","8,745","1,265","565","1,830","0","10,575"
"10007158","The University of Southampton","16,755","75","450","95","55","17,430","1,820","5,370","7,190","0","24,625"
"10006299","Staffordshire University","13,350","115","335","75","35","13,910","130","310","440","0","14,345"
"10007804","The University of Stirling","1,080","8,460","45","420","25","10,030","1,005","1,545","2,550","0","12,585"
"10037449","University of St Mark and St John","2,485","5","55","10","10","2,565","55","20","75","0","2,635"
"10008010","Stranmillis University College","15","0","0","1,475","0","1,490","20","10","30","0","1,520"
"10007805","The University of Strathclyde","885","16,965","30","210","0","18,090","1,655","2,540","4,200","5","22,295"
"10014001","University of Suffolk","5,205","5","20","5","0","5,235","115","25","140","0","5,375"
"10007159","The University of Sunderland","11,350","50","20","35","5","11,455","995","1,615","2,610","0","14,070"
"10007160","The University of Surrey","11,680","55","180","65","30","12,010","1,685","3,250","4,935","0","16,945"
"10007806","The University of Sussex","11,910","35","135","50","85","12,220","1,320","4,255","5,580","0","17,800"
"10007855","Swansea University","7,550","30","9,085","55","45","16,765","950","2,700","3,650","0","20,415"
"10007161","Teesside University","16,920","220","85","95","10","17,335","260","780","1,045","0","18,375"
"10008017","Trinity Laban Conservatoire of Music and Dance","715","35","30","20","5","805","185","95","275","0","1,080"
"10007858","University of Wales Trinity Saint David","2,460","20","7,240","20","5","9,740","180","360","540","0","10,280"
"10007114","University of the Highlands and Islands","200","8,795","10","15","0","9,020","210","95","305","0","9,325"
"10007807","Ulster University","1,430","125","60","19,985","5","21,605","1,530","575","2,110","0","23,715"
"10007784","University College London","21,235","250","355","110","60","22,015","4,930","13,060","17,990","10","40,015"
"10007793","University of South Wales","4,125","95","15,570","80","5","19,875","1,415","1,570","2,985","0","22,860"
"10008574","The University of Wales (central functions)","0","0","5","0","0","5","0","0","0","0","5"
"10007163","The University of Warwick","16,075","150","380","80","30","16,715","2,500","6,495","8,990","0","25,705"
"10007164","University of the West of England, Bristol","22,605","65","2,185","105","35","24,990","975","2,825","3,795","0","28,790"
"10007800","The University of the West of Scotland","545","14,125","10","45","5","14,730","555","1,155","1,705","0","16,435"
"10006566","The University of West London","9,115","20","85","30","5","9,255","930","585","1,515","0","10,770"
"10007165","The University of Westminster","12,730","30","70","30","5","12,865","2,285","4,090","6,375","0","19,245"
"10003614","The University of Winchester","6,925","15","60","30","95","7,125","105","355","460","0","7,585"
"10007166","The University of Wolverhampton","18,395","65","130","25","5","18,625","285","720","1,005","0","19,630"
"10007139","University of Worcester","9,715","25","385","30","10","10,170","420","205","630","0","10,800"
"10007657","Writtle University College","700","5","10","15","0","730","25","50","75","0","805"
"10007713","York St John University","5,805","25","55","30","10","5,920","60","270","330","0","6,250"
"10007167","The University of York","14,195","145","270","85","50","14,745","890","3,185","4,075","0","18,825"
"","Total","1,548,250","170,895","98,435","62,930","4,070","1,884,575","139,150","319,340","458,490","30","2,343,095"
