﻿Title:,"Table 1 - HE student enrolments by HE provider"
Subtitle:,"Academic years 2014/15 to 2018/19"
Reference ID:,DT051 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2020
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,First year marker,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2016/17 
Search:,


"UKPRN","HE provider","England","Scotland","Wales","Northern Ireland","Other UK","Total UK  ","Other European Union","Non-European Union","Total Non-UK","Not known","Total"
"10007783","The University of Aberdeen","1,515","7,970","35","200","10","9,730","2,715","1,705","4,420","0","14,150"
"10007849","University of Abertay Dundee","120","3,115","0","65","0","3,300","450","95","545","0","3,845"
"10007856","Aberystwyth University","4,000","45","3,075","75","10","7,205","760","490","1,250","0","8,455"
"10000291","Anglia Ruskin University","19,130","70","85","85","15","19,385","875","1,980","2,860","0","22,245"
"10007759","Aston University","10,900","60","190","25","5","11,180","685","1,745","2,430","0","13,610"
"10007857","Bangor University","4,710","40","3,995","95","45","8,880","505","1,880","2,385","0","11,270"
"10000571","Bath Spa University","6,590","10","515","65","20","7,200","245","540","780","0","7,980"
"10007850","The University of Bath","10,825","145","770","145","80","11,965","1,700","3,245","4,945","0","16,910"
"10007152","University of Bedfordshire","11,440","10","40","55","10","11,555","940","1,505","2,445","0","14,000"
"10005343","Queen's University Belfast","1,215","115","50","19,385","20","20,790","940","2,125","3,065","0","23,850"
"10007760","Birkbeck College","11,500","15","35","5","5","11,560","665","690","1,355","0","12,915"
"10007140","Birmingham City University","20,620","100","330","90","10","21,150","685","2,295","2,980","0","24,130"
"10006840","The University of Birmingham","25,300","195","815","90","125","26,530","1,825","6,385","8,210","100","34,835"
"10000712","University College Birmingham","3,495","5","65","10","0","3,580","850","505","1,355","0","4,935"
"10007811","Bishop Grosseteste University","2,205","0","0","5","0","2,215","5","10","10","0","2,225"
"10006841","The University of Bolton","5,810","15","80","35","5","5,945","175","310","480","0","6,425"
"10000385","The Arts University Bournemouth","2,650","20","40","15","55","2,785","210","320","530","0","3,315"
"10000824","Bournemouth University","17,210","55","200","45","60","17,575","1,000","1,625","2,625","0","20,200"
"10007785","The University of Bradford","9,215","35","70","35","5","9,355","535","1,070","1,605","0","10,960"
"10000886","The University of Brighton","18,340","55","195","100","155","18,845","1,115","1,690","2,805","0","21,655"
"10000936","The University College of Osteopathy","395","5","5","0","5","410","40","20","60","0","470"
"10007786","The University of Bristol","16,915","215","955","175","45","18,305","1,210","4,075","5,285","0","23,590"
"10000961","Brunel University London","9,480","20","105","25","10","9,640","740","2,745","3,490","0","13,130"
"10000975","Buckinghamshire New University","7,910","40","75","65","10","8,105","680","90","770","0","8,870"
"10007787","The University of Buckingham","1,505","30","30","0","5","1,575","135","810","945","0","2,520"
"10007788","The University of Cambridge","12,355","325","300","205","20","13,205","2,560","4,190","6,750","0","19,955"
"10003324","The Institute of Cancer Research","240","0","5","0","0","245","15","10","25","0","275"
"10001143","Canterbury Christ Church University","14,315","40","35","55","25","14,470","510","220","730","0","15,200"
"10007814","Cardiff University","12,830","120","10,900","180","50","24,075","1,455","6,065","7,520","0","31,595"
"10007854","Cardiff Metropolitan University","3,415","30","5,675","65","25","9,215","335","1,445","1,780","0","10,995"
"10007141","The University of Central Lancashire","21,025","140","290","190","30","21,680","605","1,875","2,480","0","24,160"
"10007848","University of Chester","12,425","55","1,745","145","70","14,440","190","695","885","0","15,325"
"10007137","The University of Chichester","5,250","15","60","15","35","5,370","80","90","170","0","5,540"
"10001478","City, University of London","11,660","50","90","30","10","11,840","2,170","5,390","7,560","0","19,405"
"10001653","Conservatoire for Dance and Drama","835","35","35","5","0","915","170","290","460","0","1,375"
"10007761","Courtauld Institute of Art","300","5","5","0","0","310","75","105","180","0","495"
"10001726","Coventry University","20,585","45","265","80","10","20,990","2,805","7,900","10,700","0","31,690"
"10007822","Cranfield University","1,805","65","75","10","10","1,960","960","1,015","1,975","0","3,935"
"10006427","University for the Creative Arts","5,200","80","80","30","10","5,400","370","410","780","0","6,180"
"10007842","University of Cumbria","7,615","285","105","320","25","8,350","200","85","285","0","8,635"
"10001883","De Montfort University","19,100","80","235","80","35","19,535","750","2,920","3,665","0","23,205"
"10007851","University of Derby","15,810","140","185","75","25","16,235","680","670","1,350","0","17,585"
"10007852","The University of Dundee","2,180","10,155","75","720","25","13,155","915","1,320","2,235","0","15,390"
"10007143","University of Durham","12,540","250","280","190","70","13,330","1,095","3,965","5,055","0","18,385"
"10007789","The University of East Anglia","12,970","50","135","80","15","13,250","855","3,085","3,945","0","17,195"
"10007144","The University of East London","11,870","45","60","35","15","12,025","445","750","1,195","0","13,215"
"10007823","Edge Hill University","14,290","35","360","220","75","14,975","100","140","240","0","15,220"
"10007772","Edinburgh Napier University","945","9,150","25","320","10","10,450","1,545","915","2,460","0","12,910"
"10007790","The University of Edinburgh","8,280","11,350","240","480","65","20,415","3,635","7,855","11,490","0","31,910"
"10007791","The University of Essex","9,995","35","90","45","10","10,175","1,820","2,595","4,410","0","14,585"
"10007792","The University of Exeter","16,035","145","880","120","115","17,300","1,490","4,385","5,880","0","23,175"
"10008640","Falmouth University","4,625","25","150","40","25","4,865","240","280","520","0","5,385"
"10004511","The National Film and Television School","170","5","0","5","0","180","55","35","90","0","275"
"10007762","Glasgow Caledonian University","600","13,595","40","155","0","14,395","765","1,260","2,020","0","16,415"
"10002681","Glasgow School of Art","480","910","20","35","0","1,445","320","435","755","0","2,195"
"10007794","The University of Glasgow","3,085","16,520","85","675","10","20,380","3,175","5,060","8,235","0","28,615"
"10007145","University of Gloucestershire","7,370","20","545","85","15","8,030","110","365","475","0","8,505"
"10007833","Glyndŵr University","1,150","25","4,225","20","0","5,420","740","255","995","0","6,415"
"10002718","Goldsmiths College","6,870","50","75","30","10","7,035","850","1,465","2,315","0","9,345"
"10030408","Gower College Swansea","0","0","110","0","0","110","0","0","0","0","110"
"10007146","The University of Greenwich","15,945","75","120","65","15","16,220","1,340","2,350","3,690","0","19,915"
"10007825","Guildhall School of Music and Drama","615","35","30","5","5","685","170","180","350","0","1,035"
"10040812","Harper Adams University","4,315","270","435","155","20","5,190","70","150","220","0","5,410"
"10007764","Heriot-Watt University","1,695","5,250","40","415","5","7,405","970","2,120","3,090","5","10,500"
"10007147","University of Hertfordshire","20,630","70","155","55","30","20,945","825","2,795","3,620","15","24,580"
"10007765","Heythrop College","380","0","5","5","0","390","10","30","40","0","425"
"10007148","The University of Huddersfield","15,100","30","105","50","25","15,310","670","2,300","2,970","0","18,280"
"10007149","The University of Hull","14,035","35","95","45","15","14,230","710","1,590","2,300","0","16,530"
"10003270","Imperial College of Science, Technology and Medicine","8,350","185","175","75","0","8,790","2,870","6,030","8,895","0","17,690"
"10007767","Keele University","8,945","45","290","65","25","9,360","205","1,030","1,235","0","10,600"
"10007150","The University of Kent","15,130","45","125","45","65","15,410","1,830","2,980","4,810","0","20,220"
"10003645","King's College London","19,905","180","325","125","40","20,575","3,740","6,250","9,990","0","30,565"
"10003678","Kingston University","15,825","70","195","45","20","16,155","1,065","2,250","3,315","0","19,470"
"10007768","The University of Lancaster","8,480","100","310","60","70","9,015","1,410","3,190","4,600","0","13,615"
"10003854","Leeds Arts University","1,290","10","20","10","5","1,335","25","65","90","0","1,425"
"10003861","Leeds Beckett University","22,680","130","260","200","50","23,325","475","1,090","1,560","0","24,885"
"10007795","The University of Leeds","24,950","185","395","160","80","25,770","1,450","6,080","7,530","0","33,300"
"10003863","Leeds Trinity University","3,515","5","20","35","0","3,575","35","15","50","0","3,625"
"10007796","The University of Leicester","12,270","85","275","45","40","12,720","685","3,395","4,080","0","16,800"
"10007151","The University of Lincoln","12,570","70","105","40","10","12,795","235","1,075","1,310","0","14,105"
"10003956","Liverpool Hope University","4,285","15","145","605","30","5,075","95","70","165","0","5,240"
"10003957","Liverpool John Moores University","17,585","60","1,365","1,775","85","20,870","380","1,195","1,575","0","22,445"
"10003945","The Liverpool Institute for Performing Arts","510","20","30","10","5","575","20","145","165","0","745"
"10006842","The University of Liverpool","17,885","90","1,030","470","110","19,585","830","6,655","7,485","0","27,070"
"10003958","Liverpool School of Tropical Medicine","235","15","10","5","0","265","35","130","165","0","430"
"10007820","Grŵp Llandrillo Menai","10","0","1,170","0","0","1,180","0","0","0","0","1,180"
"10007162","University of the Arts, London","9,390","110","145","60","35","9,740","2,370","6,180","8,550","0","18,290"
"10007769","London Business School","565","5","0","0","0","570","355","1,140","1,490","0","2,060"
"10007797","University of London (Institutes and activities)","120","0","0","0","0","120","40","45","85","0","210"
"10004048","London Metropolitan University","10,775","35","70","30","5","10,920","860","365","1,230","0","12,145"
"10004078","London South Bank University","16,040","30","70","40","5","16,190","615","1,180","1,795","0","17,985"
"10004063","London School of Economics and Political Science","3,510","50","60","40","5","3,665","1,975","5,570","7,545","0","11,210"
"10007771","London School of Hygiene and Tropical Medicine","675","15","10","5","0","700","110","535","645","0","1,345"
"10004113","Loughborough University","12,885","125","375","100","65","13,550","875","2,705","3,580","0","17,130"
"10004180","The Manchester Metropolitan University","29,155","120","855","435","55","30,620","1,075","1,315","2,390","0","33,010"
"10007798","The University of Manchester","25,240","290","925","470","60","26,985","2,595","10,910","13,510","0","40,490"
"10004351","Middlesex University","14,750","65","85","30","15","14,950","1,740","2,815","4,555","0","19,505"
"10007799","Newcastle University","17,365","470","210","480","55","18,585","1,205","5,190","6,395","0","24,980"
"10007832","Newman University","2,775","0","10","10","0","2,795","15","15","35","0","2,830"
"10007138","The University of Northampton","11,070","45","85","30","15","11,245","405","1,200","1,605","0","12,850"
"10009614","Grŵp NPTC Group","0","0","105","0","0","105","0","0","0","0","105"
"10001282","University of Northumbria at Newcastle","22,220","265","95","650","70","23,300","630","2,745","3,375","0","26,675"
"10004775","Norwich University of the Arts","2,000","5","10","5","10","2,030","65","85","150","0","2,180"
"10007154","University of Nottingham","24,470","100","475","150","45","25,235","1,630","5,645","7,275","0","32,515"
"10004797","The Nottingham Trent University","24,950","70","250","100","70","25,435","855","3,080","3,935","0","29,370"
"10007773","The Open University","95,425","15,470","6,890","3,610","0","121,395","175","50","225","0","121,620"
"10004930","Oxford Brookes University","14,065","80","355","60","45","14,600","1,020","2,180","3,200","0","17,805"
"10007774","The University of Oxford","15,410","395","425","130","35","16,395","2,700","5,555","8,255","0","24,650"
"10005127","Plymouth College of Art","1,220","0","25","20","5","1,275","30","10","40","0","1,315"
"10007801","University of Plymouth","18,730","45","635","85","60","19,555","660","1,430","2,090","0","21,645"
"10007155","The University of Portsmouth","19,085","85","385","60","55","19,670","1,015","2,815","3,830","0","23,505"
"10005337","Queen Margaret University, Edinburgh","470","3,420","25","155","25","4,095","780","330","1,110","0","5,210"
"10007775","Queen Mary University of London","12,555","85","185","75","20","12,920","1,835","4,135","5,965","0","18,890"
"10005389","Ravensbourne University London","2,010","5","15","20","5","2,060","105","120","220","0","2,280"
"10007802","The University of Reading","11,050","55","520","60","35","11,725","1,005","3,110","4,115","0","15,840"
"10005500","The Robert Gordon University","845","9,305","30","80","15","10,280","1,120","1,130","2,250","0","12,530"
"10007776","Roehampton University","9,070","15","35","20","5","9,150","410","640","1,055","0","10,205"
"10005523","Rose Bruford College of Theatre and Performance","585","15","20","5","0","620","40","65","105","0","730"
"10007835","Royal Academy of Music","395","25","30","5","5","455","165","195","360","0","820"
"10005545","Royal Agricultural University","1,045","35","45","5","0","1,130","50","105","155","0","1,280"
"10007777","Royal College of Art","710","20","10","0","0","745","450","660","1,105","0","1,855"
"10007778","Royal College of Music","385","25","20","0","0","435","155","225","380","0","810"
"10005561","Royal Conservatoire of Scotland","200","605","10","20","0","840","135","180","320","0","1,155"
"10007816","The Royal Central School of Speech and Drama","760","25","15","10","0","810","100","190","290","0","1,100"
"10005553","Royal Holloway and Bedford New College","7,200","35","145","20","25","7,420","875","2,030","2,905","0","10,325"
"10007837","Royal Northern College of Music","565","45","45","10","15","680","85","185","275","0","955"
"10007779","The Royal Veterinary College","1,885","35","55","25","5","2,005","80","285","370","0","2,375"
"10007803","The University of St Andrews","2,545","2,805","70","190","25","5,635","1,210","3,485","4,695","0","10,330"
"10007782","St George's, University of London","4,350","15","45","20","10","4,435","80","340","420","0","4,855"
"10008026","St Mary's University College","0","0","0","975","0","975","15","0","15","0","990"
"10007843","St Mary's University, Twickenham","5,045","10","35","80","10","5,185","215","130","350","0","5,535"
"10007156","The University of Salford","17,155","75","295","170","15","17,705","830","1,460","2,290","0","19,995"
"10007780","SOAS University of London","3,350","35","40","15","10","3,450","890","1,775","2,665","245","6,360"
"10005700","SRUC","85","1,425","10","15","0","1,540","70","10","80","0","1,620"
"10005790","Sheffield Hallam University","27,630","115","225","75","55","28,100","450","2,265","2,715","0","30,815"
"10007157","The University of Sheffield","19,840","125","355","120","45","20,485","1,415","6,810","8,225","0","28,715"
"10006022","Solent University","8,905","50","165","80","50","9,250","1,210","605","1,815","0","11,060"
"10007158","The University of Southampton","17,350","65","485","100","65","18,070","1,830","5,280","7,110","0","25,180"
"10006299","Staffordshire University","13,660","125","295","70","35","14,185","345","385","725","0","14,910"
"10007804","The University of Stirling","1,025","8,115","40","410","15","9,605","975","1,485","2,460","5","12,065"
"10037449","University of St Mark and St John","2,255","5","45","10","5","2,325","60","30","85","0","2,415"
"10008010","Stranmillis University College","15","0","0","1,445","0","1,455","20","0","20","0","1,475"
"10007805","The University of Strathclyde","765","17,775","40","185","0","18,765","1,680","2,510","4,190","5","22,955"
"10014001","University of Suffolk","4,925","5","10","5","0","4,945","105","35","135","0","5,080"
"10007159","The University of Sunderland","10,210","45","25","40","5","10,320","860","1,840","2,700","0","13,020"
"10007160","The University of Surrey","11,280","55","175","55","20","11,585","1,390","3,090","4,480","0","16,065"
"10007806","The University of Sussex","10,910","35","140","50","100","11,225","1,230","4,230","5,460","0","16,685"
"10007855","Swansea University","7,045","25","8,465","55","60","15,650","795","2,715","3,510","0","19,160"
"10007161","Teesside University","17,095","270","125","110","10","17,605","265","685","945","0","18,555"
"10008017","Trinity Laban Conservatoire of Music and Dance","685","30","35","10","5","765","160","85","250","0","1,015"
"10007858","University of Wales Trinity Saint David","1,780","25","7,310","30","5","9,145","255","350","610","0","9,755"
"10007114","University of the Highlands and Islands","165","8,230","10","15","5","8,420","205","95","300","0","8,720"
"10007807","Ulster University","1,555","125","65","20,705","0","22,445","1,510","685","2,195","0","24,640"
"10007784","University College London","21,390","220","345","130","85","22,170","4,485","11,250","15,735","0","37,905"
"10007793","University of South Wales","4,130","85","16,010","80","10","20,315","1,385","1,765","3,150","0","23,465"
"10008574","The University of Wales (central functions)","0","0","5","0","0","5","0","0","0","0","5"
"10007163","The University of Warwick","15,960","165","360","70","30","16,590","2,320","6,135","8,455","0","25,045"
"10007164","University of the West of England, Bristol","21,980","65","2,060","95","45","24,245","860","2,775","3,635","0","27,880"
"10007800","The University of the West of Scotland","445","13,810","10","45","10","14,320","580","1,055","1,640","0","15,955"
"10006566","The University of West London","8,890","20","70","30","5","9,020","815","555","1,370","0","10,390"
"10007165","The University of Westminster","13,320","30","90","40","10","13,490","2,195","3,965","6,160","0","19,650"
"10003614","The University of Winchester","6,850","10","70","30","95","7,055","105","375","485","0","7,540"
"10007166","The University of Wolverhampton","18,080","75","120","40","5","18,320","310","930","1,240","0","19,560"
"10007139","University of Worcester","9,790","25","325","25","10","10,180","410","155","565","0","10,745"
"10007657","Writtle University College","670","5","10","15","5","700","25","50","75","0","775"
"10007713","York St John University","5,400","20","45","35","10","5,515","65","365","430","0","5,940"
"10007167","The University of York","13,715","145","240","90","55","14,250","875","2,775","3,650","0","17,900"
"","Total","1,540,205","169,240","98,485","63,070","4,130","1,875,125","134,835","307,540","442,375","375","2,317,880"
